"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/08/2022","1,783.30","1,803.70","1,803.70","1,772.80","0.66K","-0.97%"
"12/08/2022","1,800.80","1,789.00","1,803.80","1,786.00","0.57K","0.49%"
"11/08/2022","1,792.10","1,792.30","1,799.00","1,784.00","1.92K","-0.36%"
"10/08/2022","1,798.50","1,796.00","1,809.10","1,788.20","1.60K","0.09%"
"09/08/2022","1,796.80","1,789.50","1,801.00","1,784.00","0.93K","0.40%"
"08/08/2022","1,789.60","1,776.30","1,790.30","1,771.50","1.69K","0.78%"
"05/08/2022","1,775.80","1,790.90","1,795.20","1,765.00","2.04K","-0.86%"
"04/08/2022","1,791.20","1,765.80","1,795.50","1,764.10","1.65K","1.72%"
"03/08/2022","1,760.90","1,763.00","1,774.00","1,754.80","1.82K","-0.78%"
"02/08/2022","1,774.80","1,773.90","1,790.50","1,762.00","2.47K","0.12%"
"01/08/2022","1,772.70","1,767.70","1,777.00","1,759.80","1.07K","0.33%"
"29/07/2022","1,766.90","1,758.50","1,769.70","1,754.00","0.86K","0.71%"
"28/07/2022","1,754.40","1,737.00","1,759.00","1,736.50","1.47K","2.05%"
"27/07/2022","1,719.10","1,715.20","1,739.60","1,709.10","144.87K","0.08%"
"26/07/2022","1,717.70","1,717.90","1,726.40","1,711.50","147.37K","-0.08%"
"25/07/2022","1,719.10","1,726.30","1,734.60","1,712.90","160.72K","-0.48%"
"22/07/2022","1,727.40","1,717.20","1,738.30","1,711.70","200.62K","0.82%"
"21/07/2022","1,713.40","1,693.70","1,719.50","1,678.40","248.88K","0.78%"
"20/07/2022","1,700.20","1,709.50","1,712.70","1,690.10","174.47K","-0.61%"
"19/07/2022","1,710.70","1,707.20","1,716.50","1,702.60","131.77K","0.03%"
"18/07/2022","1,710.20","1,706.40","1,722.00","1,704.40","157.54K","0.39%"
"15/07/2022","1,703.60","1,708.20","1,714.20","1,696.60","176.80K","-0.13%"
"14/07/2022","1,705.80","1,733.60","1,734.80","1,695.00","266.35K","-1.71%"
"13/07/2022","1,735.50","1,723.60","1,744.30","1,704.50","300.55K","0.62%"
"12/07/2022","1,724.80","1,731.30","1,742.20","1,721.60","255.17K","-0.40%"
"11/07/2022","1,731.70","1,741.50","1,743.00","1,729.00","171.90K","-0.61%"
"08/07/2022","1,742.30","1,738.70","1,751.70","1,726.00","189.18K","0.15%"
"07/07/2022","1,739.70","1,737.20","1,748.20","1,734.70","151.26K","0.18%"
"06/07/2022","1,736.50","1,764.20","1,771.50","1,730.70","258.82K","-1.55%"
"05/07/2022","1,763.90","1,814.40","1,815.20","1,763.00","310.37K","0.00%"
"04/07/2022","1,763.90","1,814.40","1,815.20","1,763.00","310.37K","-2.09%"
"01/07/2022","1,801.50","1,808.10","1,813.60","1,783.40","249.49K","-0.32%"
"30/06/2022","1,807.30","1,819.20","1,826.80","1,802.50","208.90K","-0.56%"
"29/06/2022","1,817.50","1,821.40","1,834.90","1,810.70","155.54K","0.00%"
"28/06/2022","1,817.50","1,820.10","1,825.30","1,816.40","0.39K","-0.19%"
"27/06/2022","1,821.00","1,833.40","1,837.30","1,818.00","0.58K","-0.33%"
